MagID,sex,age,treatment,consumeYN,treatment,sum,1,2,3,4,5,6,7,8,9,10,11,12
53a,m,a,t,0,f,4,peck,thrash,reorient,finish,NA,NA,NA,NA,NA,NA,NA,NA
12m,m,a,n,1,n,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18f,f,a,n,1,n,2,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21f,f,a,n,1,n,2,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42f,f,a,n,1,n,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73m,m,a,n,1,n,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15m,m,a,n,1,n,2,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34m,m,a,n,1,n,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23j,j,j,t,1,f,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47J,?,J,t,1,f,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50a,m?,a,t,1,f,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62j,j,j,t,1,f,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74a,f,a,t,1,f,2,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29j,j,j,t,1,f,2,peck,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8f,f,a,n,1,n,3,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA
62am,m,a,n,1,n,3,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA
32j,j,j,t,1,f,3,peck,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA
35a,f,a,t,1,f,3,peck,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA
38a,m,a,t,1,f,3,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA,NA
26a,f,a,t,1,f,4,reorient,thrash,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA
14j,j,j,t,1,f,4,reorient,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA,NA
28m,m,a,n,1,n,5,reorient,reorient,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA
70m,m,a,n,1,n,5,peck,reorient,reorient,reorient,eat,NA,NA,NA,NA,NA,NA,NA
2f,f,a,n,1,n,6,peck,reorient,reorient,thrash,reorient,eat,NA,NA,NA,NA,NA,NA
38f,f,a,n,1,n,8,peck,peck,peck,reorient,peck,reorient,reorient,eat,NA,NA,NA,NA
64a,m,a,t,1,f,11,peck,reorient,reorient,reorient,reorient,peck,thrash,thrash,thrash,reorient,eat,NA
