bird_ID,object,treatment,consume,sex,a,k,N,n_off,p_1,p_2,p_3,p_4,q_1_1,q_1_2,q_2_2,q_2_3,q_3_3,q_2_4,q_4_4,t_1_2,t_2_3,t_2_4,t,q_1_4,t_1_4,q_1_3,t_1_3,m,m_r,m_c,A,Sc,St,Jc,Jt,B,Rt,Rab,m_dS,s_dS,cv_dS,m_dL,s_dL,cv_dL,m_hue,s_hue,var_hue,m_sat,s_sat,cv_sat,m_lum,s_lum,cv_lum
k_01m-n0,k,n,0,m,a,4,124500,2500,0.112,0.812,0.056,0.02,0.104192771,0.014056225,0.803590361,0.004016064,0.054104418,0.002008032,0.018032129,0.7,0.2,0.1,NA,NA,NA,NA,NA,0.016666667,0.033333333,0,Inf,1.480551476,1.851851852,0.370137869,0.308641975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_04m-n0,k,n,0,m,a,2,124500,2000,0.556,0.444,NA,NA,0.547076305,0.016064257,0.436859438,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.013333333,0.026666667,0,Inf,1.975222805,1,0.987611403,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_07m-n0,k,n,0,m,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_12m-t1,k,t,1,m,a,3,124500,500,0.204,0.396,0.4,NA,0.202401606,0.002008032,0.394787149,0.002008032,0.398795181,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,0.003333333,0.006666667,0,Inf,2.789929471,2,0.92997649,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_14f-n0,k,n,0,f,a,2,124500,250,0.748,0.252,NA,NA,0.747493976,0.002008032,0.250497992,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.001666667,0.003333333,0,Inf,1.605115825,1,0.802557913,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_15f-t0,k,t,0,f,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_17m-t0,k,t,0,m,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_19f-n1,k,n,1,f,a,3,124500,4250,0.28,0.676,0.044,NA,0.266506024,0.026104418,0.659285141,0.008032129,0.040072289,NA,NA,0.764705882,0.235294118,NA,NA,NA,NA,NA,NA,0.028333333,0.056666667,0,Inf,1.861116074,1.562162162,0.620372025,0.520720721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_20f-n1,k,n,1,f,a,3,124500,500,0.06,0.88,0.06,NA,0.05811245,0.002008032,0.879759036,0.002008032,0.05811245,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,0.003333333,0.006666667,0,Inf,1.279426817,2,0.426475606,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_25m-n0,k,n,0,m,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_26f-n0,k,n,0,f,a,2,124500,250,0.856,0.144,NA,NA,0.855710843,0.002008032,0.142281124,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.001666667,0.003333333,0,Inf,1.327189332,1,0.663594666,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_27f-t0,k,n,0,m,a,2,124500,500,0.836,0.164,NA,NA,0.833662651,0.004016064,0.162321285,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.003333333,0.006666667,0,Inf,1.377805211,1,0.688902606,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_27m-n0,k,t,0,f,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_30f-n0,k,n,0,f,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_33f-n0,k,n,0,f,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_36m-n0,k,n,0,m,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_36m-t1,k,t,1,m,a,4,124500,3500,0.092,0.74,0.064,0.104,0.08415261,0.010040161,0.729437751,0.004016064,0.062120482,0.010040161,0.096176707,0.357142857,0.142857143,0.357142857,NA,0.004016064,0.142857143,NA,NA,0.023333333,0.046666667,0,Inf,1.751387099,3.379310345,0.437846775,0.563218391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_39f-t0,k,t,0,f,a,3,124500,3000,0.264,0.5,0.236,NA,0.25448996,0.008032129,0.492971888,0.008032129,0.228441767,NA,NA,0.333333333,0.333333333,NA,NA,NA,NA,0.008032129,0.333333333,0.02,0.04,0,Inf,2.663882022,3,0.887960674,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_45m-n0,k,n,0,m,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_54f-n0,k,n,0,f,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_56f-t1,k,t,1,f,a,3,124500,3000,0.284,0.572,0.144,NA,0.27453012,0.014056225,0.563108434,0.006024096,0.13826506,NA,NA,0.583333333,0.25,NA,NA,NA,NA,0.004016064,0.166666667,0.02,0.04,0,Inf,2.333308445,2.322580645,0.777769482,0.774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_58m-n1,k,n,1,m,a,3,124500,750,0.044,0.912,0.044,NA,0.042080321,0.002008032,0.909815261,0.004016064,0.042080321,NA,NA,0.333333333,0.666666667,NA,NA,NA,NA,NA,NA,0.005,0.01,0,Inf,1.196721939,1.8,0.398907313,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
k_59m-t0,k,t,0,m,a,1,124500,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
